Accession	Sample Name	SPUID	Organism	Tax ID	Strain	
SAMN10789524	HTH_CT_1_SIP	HTH_CT_1_SIP	mouse gut metagenome	410661	not applicable	
SAMN10789525	HTH_CT_1_SIM	HTH_CT_1_SIM	mouse gut metagenome	410661	not applicable	
SAMN10789526	HTH_RB_2_SIP	HTH_RB_2_SIP	mouse gut metagenome	410661	not applicable	
SAMN10789527	HTH_RB_2_SIM	HTH_RB_2_SIM	mouse gut metagenome	410661	not applicable	
SAMN10789528	HTH_RB_2_SID	HTH_RB_2_SID	mouse gut metagenome	410661	not applicable	
SAMN10789529	HTH_FR_1_SIP	HTH_FR_1_SIP	mouse gut metagenome	410661	not applicable	
SAMN10789530	HTH_FR_1_SIM	HTH_FR_1_SIM	mouse gut metagenome	410661	not applicable	
SAMN10789531	HTH_FR_1_SID	HTH_FR_1_SID	mouse gut metagenome	410661	not applicable	
SAMN10789532	AOM_CT_4_SIP	AOM_CT_4_SIP	mouse gut metagenome	410661	not applicable	
SAMN10789533	AOM_CT_4_SIM	AOM_CT_4_SIM	mouse gut metagenome	410661	not applicable	
SAMN10789534	AOM_CT_4_SID	AOM_CT_4_SID	mouse gut metagenome	410661	not applicable	
SAMN10789535	AOM_RB_2_SIP	AOM_RB_2_SIP	mouse gut metagenome	410661	not applicable	
SAMN10789536	AOM_RB_2_SID	AOM_RB_2_SID	mouse gut metagenome	410661	not applicable	
SAMN10789537	AOM_FR_2_SIP	AOM_FR_2_SIP	mouse gut metagenome	410661	not applicable	
SAMN10789538	AOM_FR_2_SIM	AOM_FR_2_SIM	mouse gut metagenome	410661	not applicable	
SAMN10789539	AOM_FR_2_SID	AOM_FR_2_SID	mouse gut metagenome	410661	not applicable	
SAMN10789540	neg_cnt_1	neg_cnt_1	mixed DNA library	704108	not applicable	
SAMN10789541	neg_cnt_2	neg_cnt_2	mixed DNA library	704108	not applicable	
SAMN10789542	neg_cnt_3	neg_cnt_3	mixed DNA library	704108	not applicable	
SAMN10789543	neg_cnt_4	neg_cnt_4	mixed DNA library	704108	not applicable	
SAMN10789544	neg_cnt_5	neg_cnt_5	mixed DNA library	704108	not applicable	
SAMN10789545	neg_cnt_6	neg_cnt_6	mixed DNA library	704108	not applicable	
SAMN10789546	neg_cnt_7	neg_cnt_7	mixed DNA library	704108	not applicable	
SAMN10789547	neg_cnt_8	neg_cnt_8	mixed DNA library	704108	not applicable	
SAMN10789548	neg_cnt_9	neg_cnt_9	mixed DNA library	704108	not applicable	
SAMN10789549	neg_cnt_10	neg_cnt_10	mixed DNA library	704108	not applicable	
SAMN10789550	neg_cnt_11	neg_cnt_11	mixed DNA library	704108	not applicable	
SAMN10789551	neg_cnt_12	neg_cnt_12	mixed DNA library	704108	not applicable	
SAMN10789552	neg_cnt_13	neg_cnt_13	mixed DNA library	704108	not applicable	
SAMN10789553	neg_cnt_14	neg_cnt_14	mixed DNA library	704108	not applicable	
SAMN10789554	neg_cnt_batch_1	neg_cnt_batch_1	mixed DNA library	704108	not applicable	
SAMN10789555	neg_cnt_batch_2	neg_cnt_batch_2	mixed DNA library	704108	not applicable	
SAMN10789556	neg_cnt_batch_3	neg_cnt_batch_3	mixed DNA library	704108	not applicable	
SAMN10789557	neg_cnt_batch_4	neg_cnt_batch_4	mixed DNA library	704108	not applicable	
SAMN10789558	neg_cnt_batch_5	neg_cnt_batch_5	mixed DNA library	704108	not applicable	
SAMN10789559	neg_cnt_batch_6	neg_cnt_batch_6	mixed DNA library	704108	not applicable	
