bioproject_accession	sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename
	58_AOM_CT_18_COD	58_AOM_CT_18_COD	16S rRNA gene amplicon sequencing of mus musculus: adult female colon distal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	58_AOM_CT_18_COD_S66_L001_R1_001.fastq.gz
	59_AOM_CT_2_CEM	59_AOM_CT_2_CEM	16S rRNA gene amplicon sequencing of mus musculus: adult female cecum tissue and contents	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	59_AOM_CT_2_CEM_S67_L001_R1_001.fastq.gz
	60_AOM_CT_3_CEM	60_AOM_CT_3_CEM	16S rRNA gene amplicon sequencing of mus musculus: adult female cecum tissue and contents	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	60_AOM_CT_3_CEM_S68_L001_R1_001.fastq.gz
	61_AOM_CT_4_CEM	61_AOM_CT_4_CEM	16S rRNA gene amplicon sequencing of mus musculus: adult female cecum tissue and contents	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	61_AOM_CT_4_CEM_S69_L001_R1_001.fastq.gz
	62_AOM_CT_5_CEM	62_AOM_CT_5_CEM	16S rRNA gene amplicon sequencing of mus musculus: adult female cecum tissue and contents	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	62_AOM_CT_5_CEM_S70_L001_R1_001.fastq.gz
	63_AOM_CT_6_CEM	63_AOM_CT_6_CEM	16S rRNA gene amplicon sequencing of mus musculus: adult female cecum tissue and contents	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	63_AOM_CT_6_CEM_S71_L001_R1_001.fastq.gz
	64_AOM_CT_7_CEM	64_AOM_CT_7_CEM	16S rRNA gene amplicon sequencing of mus musculus: adult female cecum tissue and contents	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	64_AOM_CT_7_CEM_S72_L001_R1_001.fastq.gz
	65_AOM_CT_8_CEM	65_AOM_CT_8_CEM	16S rRNA gene amplicon sequencing of mus musculus: adult female cecum tissue and contents	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	65_AOM_CT_8_CEM_S73_L001_R1_001.fastq.gz
	66_AOM_CT_9_CEM	66_AOM_CT_9_CEM	16S rRNA gene amplicon sequencing of mus musculus: adult female cecum tissue and contents	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	66_AOM_CT_9_CEM_S74_L001_R1_001.fastq.gz
	67_AOM_CT_10_CEM	67_AOM_CT_10_CEM	16S rRNA gene amplicon sequencing of mus musculus: adult female cecum tissue and contents	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	67_AOM_CT_10_CEM_S75_L001_R1_001.fastq.gz
	68_AOM_CT_11_CEM	68_AOM_CT_11_CEM	16S rRNA gene amplicon sequencing of mus musculus: adult female cecum tissue and contents	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	68_AOM_CT_11_CEM_S76_L001_R1_001.fastq.gz
	69_AOM_CT_12_CEM	69_AOM_CT_12_CEM	16S rRNA gene amplicon sequencing of mus musculus: adult female cecum tissue and contents	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	69_AOM_CT_12_CEM_S77_L001_R1_001.fastq.gz
	70_AOM_CT_13_CEM	70_AOM_CT_13_CEM	16S rRNA gene amplicon sequencing of mus musculus: adult female cecum tissue and contents	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	70_AOM_CT_13_CEM_S78_L001_R1_001.fastq.gz
	71_AOM_CT_14_CEM	71_AOM_CT_14_CEM	16S rRNA gene amplicon sequencing of mus musculus: adult female cecum tissue and contents	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	71_AOM_CT_14_CEM_S79_L001_R1_001.fastq.gz
	72_AOM_CT_15_CEM	72_AOM_CT_15_CEM	16S rRNA gene amplicon sequencing of mus musculus: adult female cecum tissue and contents	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	72_AOM_CT_15_CEM_S80_L001_R1_001.fastq.gz
	73_AOM_CT_16_CEM	73_AOM_CT_16_CEM	16S rRNA gene amplicon sequencing of mus musculus: adult female cecum tissue and contents	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	73_AOM_CT_16_CEM_S81_L001_R1_001.fastq.gz
	74_AOM_CT_17_CEM	74_AOM_CT_17_CEM	16S rRNA gene amplicon sequencing of mus musculus: adult female cecum tissue and contents	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	74_AOM_CT_17_CEM_S82_L001_R1_001.fastq.gz
	75_AOM_CT_18_CEM	75_AOM_CT_18_CEM	16S rRNA gene amplicon sequencing of mus musculus: adult female cecum tissue and contents	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	75_AOM_CT_18_CEM_S83_L001_R1_001.fastq.gz
	76_AOM_CT_19_CEM	76_AOM_CT_19_CEM	16S rRNA gene amplicon sequencing of mus musculus: adult female cecum tissue and contents	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	76_AOM_CT_19_CEM_S84_L001_R1_001.fastq.gz
	77_AOM_RB_3_COP	77_AOM_RB_3_COP	16S rRNA gene amplicon sequencing of mus musculus: adult female colon proximal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	77_AOM_RB_3_COP_S85_L001_R1_001.fastq.gz
	78_AOM_RB_5_COP	78_AOM_RB_5_COP	16S rRNA gene amplicon sequencing of mus musculus: adult female colon proximal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	78_AOM_RB_5_COP_S86_L001_R1_001.fastq.gz
	79_AOM_RB_7_COP	79_AOM_RB_7_COP	16S rRNA gene amplicon sequencing of mus musculus: adult female colon proximal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	79_AOM_RB_7_COP_S87_L001_R1_001.fastq.gz
	80_AOM_RB_8_COP	80_AOM_RB_8_COP	16S rRNA gene amplicon sequencing of mus musculus: adult female colon proximal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	80_AOM_RB_8_COP_S88_L001_R1_001.fastq.gz
	81_AOM_RB_9_COP	81_AOM_RB_9_COP	16S rRNA gene amplicon sequencing of mus musculus: adult female colon proximal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	81_AOM_RB_9_COP_S89_L001_R1_001.fastq.gz
	82_AOM_RB_10_COP	82_AOM_RB_10_COP	16S rRNA gene amplicon sequencing of mus musculus: adult female colon proximal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	82_AOM_RB_10_COP_S90_L001_R1_001.fastq.gz
	83_AOM_RB_11_COP	83_AOM_RB_11_COP	16S rRNA gene amplicon sequencing of mus musculus: adult female colon proximal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	83_AOM_RB_11_COP_S91_L001_R1_001.fastq.gz
	84_AOM_RB_12_COP	84_AOM_RB_12_COP	16S rRNA gene amplicon sequencing of mus musculus: adult female colon proximal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	84_AOM_RB_12_COP_S92_L001_R1_001.fastq.gz
	85_AOM_RB_13_COP	85_AOM_RB_13_COP	16S rRNA gene amplicon sequencing of mus musculus: adult female colon proximal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	85_AOM_RB_13_COP_S93_L001_R1_001.fastq.gz
	86_AOM_RB_14_COP	86_AOM_RB_14_COP	16S rRNA gene amplicon sequencing of mus musculus: adult female colon proximal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	86_AOM_RB_14_COP_S94_L001_R1_001.fastq.gz
	87_AOM_RB_15_COP	87_AOM_RB_15_COP	16S rRNA gene amplicon sequencing of mus musculus: adult female colon proximal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	87_AOM_RB_15_COP_S95_L001_R1_001.fastq.gz
	88_AOM_RB_3_COD	88_AOM_RB_3_COD	16S rRNA gene amplicon sequencing of mus musculus: adult female colon distal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	88_AOM_RB_3_COD_S96_L001_R1_001.fastq.gz
	89_AOM_RB_5_COD	89_AOM_RB_5_COD	16S rRNA gene amplicon sequencing of mus musculus: adult female colon distal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	89_AOM_RB_5_COD_S97_L001_R1_001.fastq.gz
	90_AOM_RB_7_COD	90_AOM_RB_7_COD	16S rRNA gene amplicon sequencing of mus musculus: adult female colon distal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	90_AOM_RB_7_COD_S98_L001_R1_001.fastq.gz
	91_AOM_RB_8_COD	91_AOM_RB_8_COD	16S rRNA gene amplicon sequencing of mus musculus: adult female colon distal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	91_AOM_RB_8_COD_S99_L001_R1_001.fastq.gz
	92_AOM_RB_9_COD	92_AOM_RB_9_COD	16S rRNA gene amplicon sequencing of mus musculus: adult female colon distal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	92_AOM_RB_9_COD_S100_L001_R1_001.fastq.gz
	93_AOM_RB_10_COD	93_AOM_RB_10_COD	16S rRNA gene amplicon sequencing of mus musculus: adult female colon distal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	93_AOM_RB_10_COD_S101_L001_R1_001.fastq.gz
	94_AOM_RB_11_COD	94_AOM_RB_11_COD	16S rRNA gene amplicon sequencing of mus musculus: adult female colon distal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	94_AOM_RB_11_COD_S102_L001_R1_001.fastq.gz
	95_AOM_RB_12_COD	95_AOM_RB_12_COD	16S rRNA gene amplicon sequencing of mus musculus: adult female colon distal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	95_AOM_RB_12_COD_S103_L001_R1_001.fastq.gz
	96_AOM_RB_13_COD	96_AOM_RB_13_COD	16S rRNA gene amplicon sequencing of mus musculus: adult female colon distal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	96_AOM_RB_13_COD_S104_L001_R1_001.fastq.gz
	97_AOM_RB_14_COD	97_AOM_RB_14_COD	16S rRNA gene amplicon sequencing of mus musculus: adult female colon distal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	97_AOM_RB_14_COD_S105_L001_R1_001.fastq.gz
	98_AOM_RB_15_COD	98_AOM_RB_15_COD	16S rRNA gene amplicon sequencing of mus musculus: adult female colon distal section	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	98_AOM_RB_15_COD_S106_L001_R1_001.fastq.gz
	99_AOM_RB_1_CEM	99_AOM_RB_1_CEM	16S rRNA gene amplicon sequencing of mus musculus: adult female cecum tissue and contents	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	99_AOM_RB_1_CEM_S109_L001_R1_001.fastq.gz
	100_AOM_RB_2_CEM	100_AOM_RB_2_CEM	16S rRNA gene amplicon sequencing of mus musculus: adult female cecum tissue and contents	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	100_AOM_RB_2_CEM_S110_L001_R1_001.fastq.gz
	101_AOM_RB_3_CEM	101_AOM_RB_3_CEM	16S rRNA gene amplicon sequencing of mus musculus: adult female cecum tissue and contents	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	101_AOM_RB_3_CEM_S111_L001_R1_001.fastq.gz
	102_AOM_RB_4_CEM	102_AOM_RB_4_CEM	16S rRNA gene amplicon sequencing of mus musculus: adult female cecum tissue and contents	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	102_AOM_RB_4_CEM_S112_L001_R1_001.fastq.gz
	103_AOM_RB_5_CEM	103_AOM_RB_5_CEM	16S rRNA gene amplicon sequencing of mus musculus: adult female cecum tissue and contents	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	103_AOM_RB_5_CEM_S113_L001_R1_001.fastq.gz
	104_AOM_RB_7_CEM	104_AOM_RB_7_CEM	16S rRNA gene amplicon sequencing of mus musculus: adult female cecum tissue and contents	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	104_AOM_RB_7_CEM_S114_L001_R1_001.fastq.gz
	105_AOM_RB_8_CEM	105_AOM_RB_8_CEM	16S rRNA gene amplicon sequencing of mus musculus: adult female cecum tissue and contents	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	105_AOM_RB_8_CEM_S115_L001_R1_001.fastq.gz
	106_AOM_RB_9_CEM	106_AOM_RB_9_CEM	16S rRNA gene amplicon sequencing of mus musculus: adult female cecum tissue and contents	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	106_AOM_RB_9_CEM_S116_L001_R1_001.fastq.gz
	107_AOM_RB_10_CEM	107_AOM_RB_10_CEM	16S rRNA gene amplicon sequencing of mus musculus: adult female cecum tissue and contents	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	107_AOM_RB_10_CEM_S117_L001_R1_001.fastq.gz
	108_AOM_RB_11_CEM	108_AOM_RB_11_CEM	16S rRNA gene amplicon sequencing of mus musculus: adult female cecum tissue and contents	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	108_AOM_RB_11_CEM_S118_L001_R1_001.fastq.gz
	109_AOM_RB_12_CEM	109_AOM_RB_12_CEM	16S rRNA gene amplicon sequencing of mus musculus: adult female cecum tissue and contents	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	109_AOM_RB_12_CEM_S121_L001_R1_001.fastq.gz
	110_AOM_RB_13_CEM	110_AOM_RB_13_CEM	16S rRNA gene amplicon sequencing of mus musculus: adult female cecum tissue and contents	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	110_AOM_RB_13_CEM_S122_L001_R1_001.fastq.gz
	111_AOM_RB_14_CEM	111_AOM_RB_14_CEM	16S rRNA gene amplicon sequencing of mus musculus: adult female cecum tissue and contents	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	111_AOM_RB_14_CEM_S123_L001_R1_001.fastq.gz
	112_AOM_RB_15_CEM	112_AOM_RB_15_CEM	16S rRNA gene amplicon sequencing of mus musculus: adult female cecum tissue and contents	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	112_AOM_RB_15_CEM_S124_L001_R1_001.fastq.gz
	113_AOM_RB_16_CEM	113_AOM_RB_16_CEM	16S rRNA gene amplicon sequencing of mus musculus: adult female cecum tissue and contents	AMPLICON	GENOMIC	PCR	single	ILLUMINA	Illumina MiSeq	DNA extraction: PCR amplification: PCR product purificication using solid-phase reversible immobilization beads: Illumina V2 500 cycle kit (2x 250/250) on MiSeq with 15% PhiX mock library: (All steps conducted as per Earth Microbiome Project standards/guidelines) 	fastq	113_AOM_RB_16_CEM_S125_L001_R1_001.fastq.gz
